product_id,product_name,description,category,price,stock
P001,罗技MX Master 3S无线鼠标,无线蓝牙鼠标 轻音点击 舒适手感 MagSpeed电磁滚轮 最多连接3台设备,键鼠套装,469,50
P002,雷蛇黑寡妇蜘蛛V3机械键盘,RGB游戏机械键盘 绿轴 87键 全身RGB灯光 可自定义编程,键鼠套装,599,30
P003,Apple AirPods Pro二代,主动降噪 空间音频 MagSafe充电盒 聆听时间最长可达6小时,耳机音响,1899,100
P004,索尼WH-1000XM5头戴式耳机,业界领先降噪 AI智能降噪 30小时续航  Multipoint连接,耳机音响,2699,40
P005,戴尔U2723QE 27英寸4K显示器,IPS Black技术 4K分辨率 HDR400 专业设计显示器 90W反向充电,电脑配件,3699,25
P006,三星990 PRO 2TB固态硬盘,NVMe PCIe 4.0 读速7450MB/s 游戏加速 五年质保,存储设备,1499,80
P007,联想拯救者R9000P游戏本,R7-7745HX 16G 1T RTX4060 2.5K 240Hz高刷屏,电脑整机,8999,15
P008,华硕TUF RTX4070Ti显卡,12GB GDDR6X 192bit 3风扇散热 支持光线追踪,电脑配件,6499,20
P009,美商海盗船K100 RGB机械键盘,OPX光轴 8MHz回报率 航空级铝框 可磁吸式手托,键鼠套装,1099,35
P010,微软Surface Pro 9二合一平板,i7 16G 256G 13英寸触控屏 120Hz刷新率 轻薄便携,电脑整机,9988,10
P011,小米米家空气净化器4 Pro,除甲醛99.99% 抗菌率99.99% 颗粒物CADR 500m³/h,智能家居,1299,60
P012,石头G10S扫拖机器人,5100Pa大吸力 自动集尘 主动避障 声波震动擦地,智能家居,3999,30
P013,华为FreeBuds Pro 3,超感知原声单元 空间音频 主动降噪 通话降噪,耳机音响,1499,70
P014,漫步者S1000MKII音响,Hi-Res金标认证 钛顶高音 木质箱体 蓝牙5.0,耳机音响,1198,45
P015,雷鸟鹤6 Pro 65英寸电视, MiniLED 512分区 1200nit峰值亮度 144Hz高刷,智能家居,4999,20
P016,Apple iPad Pro 12.9英寸,M2芯片 256G WLAN版 Liquid Retina XDR显示屏,电脑整机,9999,12
P017,ThinkPad X1 Carbon Gen11,i7-1365U 16G 512G 14英寸 轻薄便携 商务本,电脑整机,12999,8
P018,绿联私有云DH2600,双盘位NAS 个人云存储 远程访问 自动备份,存储设备,1299,40
P009A,樱桃MX8.2 TKL机械键盘,德国原厂轴体 三模无线 RGB背光 铝制机身 紧凑87布局,键鼠套装,1599,25
P020,大疆Mini 3 Pro无人机,4K/60fps视频 4800万像素 34分钟续航 轻于249g,数码整机,5788,15
P021,Insta360 X3全景相机,5.7K全景拍摄 运动HDR FlowState防抖 防水可水下拍摄,数码整机,2998,30
P022,倍思M2s主动降噪耳机,ANC主动降噪 Hi-Res金标认证 30小时续航 空间音效,耳机音响,299,120
P023,ikbc C87机械键盘,Cherry轴 87键 简约设计 白色背光 键线分离,键鼠套装,328,80
P024,罗技C920s Pro HD摄像头,1080P高清 自动对焦 立体声麦克光 隐私快门,电脑配件,399,60
P025,希捷酷鹰4TB监控硬盘,5900RPM 256MB缓存 7*24小时工作 三年质保,存储设备,699,50
P026,安克Anker 737移动电源,24000mAh 140W大功率 笔记本充电 智能数显,数码整机,999,40
P027,闪迪Extreme PRO 512G U盘,读取420MB/s 写入380MB/s USB3.2 加密软件,存储设备,399,100
P028,贝尔金扩展坞七合一,PD100W充电 HDMI4K 千兆网口 USB-C/USB-A,电脑配件,399,55
P029,赛睿Arctis Nova Pro耳机,40mm驱动单元 主动降噪 2.4G无线 跨平台兼容,耳机音响,2299,25
P030,小米显示器27英寸4K,4K IPS面板 HDR400 99%P3色域 Type-C反向供电,电脑配件,1999,35
